safegraph_place_id,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,street_address,city,state,zip_code,phone_number,open_hours
sg:08b733976b754a79898223db6eb5baac,sg:de0e2824e3a5463bac354db660d95638,Trader Joe's,SG_BRAND_88b90c11892dd21eddc97bdb0fc449f0,Trader Joe's,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,5 essington drive,hingham,ma,2043,17817402038,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }"
sg:3566a8f58b114d3ea4a6cde20790e6c2,,Whole Foods Market,SG_BRAND_44378a5463f4125c5d84db81855413b8,Whole Foods Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,13998 cedar road,university heights,oh,44118,,"{ ""Mon"": [[""8:00"", ""22:00""]], ""Tue"": [[""8:00"", ""22:00""]], ""Wed"": [[""8:00"", ""22:00""]], ""Thu"": [[""8:00"", ""22:00""]], ""Fri"": [[""8:00"", ""22:00""]], ""Sat"": [[""8:00"", ""22:00""]], ""Sun"": [[""8:00"", ""22:00""]] }"
sg:9c83e26e205f4ac994094d48469ff3a5,,Costco Wholesale Corp,SG_BRAND_60b7b54d19fca719281e76d485a141ad,Costco Wholesale Corp.,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,1320 south route 59,naperville,il,60564,16303282900,
sg:9d51e7fd940e429e8e67e21c13ad7b36,,Costco Wholesale Corp,SG_BRAND_60b7b54d19fca719281e76d485a141ad,Costco Wholesale Corp.,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,2955 north tegner road,turlock,ca,95380,12096565301,
sg:d5d2721f73d846a59ef3f96999fbc0f3,,Costco Wholesale Corp,SG_BRAND_60b7b54d19fca719281e76d485a141ad,Costco Wholesale Corp.,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,98 seaboard lane,brentwood,tn,37027,,"{ ""Mon"": [[""10:00"", ""20:30""]], ""Tue"": [[""10:00"", ""20:30""]], ""Wed"": [[""10:00"", ""20:30""]], ""Thu"": [[""10:00"", ""20:30""]], ""Fri"": [[""10:00"", ""20:30""]], ""Sat"": [[""9:30"", ""19:00""]], ""Sun"": [[""10:00"", ""18:00""]] }"
sg:0d3c3859d74341fa89b94ed4cda5e3e9,,Whole Foods Market,SG_BRAND_44378a5463f4125c5d84db81855413b8,Whole Foods Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,261 lusher court,frisco,co,80443,,
sg:1a32ce2448674ec99c9146ae54040395,sg:a4e42e1b1a9b4b92b33703f8658ce8b7,Whole Foods Market,SG_BRAND_44378a5463f4125c5d84db81855413b8,Whole Foods Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,14956 pines boulevard,pembroke pines,fl,33027,19543923500,"{ ""Mon"": [[""8:00"", ""22:00""]], ""Tue"": [[""8:00"", ""22:00""]], ""Wed"": [[""8:00"", ""22:00""]], ""Thu"": [[""8:00"", ""22:00""]], ""Fri"": [[""8:00"", ""22:00""]], ""Sat"": [[""8:00"", ""22:00""]], ""Sun"": [[""8:00"", ""22:00""]] }"
sg:c5fde880a9014798ae7598d1dc394428,sg:ebbeb00269e2426e88e8e7f9efe5dad8,Whole Foods Market,SG_BRAND_44378a5463f4125c5d84db81855413b8,Whole Foods Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,4059 finn way,lexington,ky,40517,,"{ ""Mon"": [[""8:00"", ""22:00""]], ""Tue"": [[""8:00"", ""22:00""]], ""Wed"": [[""8:00"", ""22:00""]], ""Thu"": [[""8:00"", ""22:00""]], ""Fri"": [[""8:00"", ""22:00""]], ""Sat"": [[""8:00"", ""22:00""]], ""Sun"": [[""8:00"", ""22:00""]] }"
sg:3c78bfe0f1e14cf6a55073bae7621b56,,Costco Wholesale Corp,SG_BRAND_60b7b54d19fca719281e76d485a141ad,Costco Wholesale Corp.,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,7100 north abby street,fresno,ca,93720,,"{ ""Mon"": [[""6:00"", ""21:30""]], ""Tue"": [[""6:00"", ""21:30""]], ""Wed"": [[""6:00"", ""21:30""]], ""Thu"": [[""6:00"", ""21:30""]], ""Fri"": [[""6:00"", ""21:30""]], ""Sat"": [[""6:00"", ""20:00""]], ""Sun"": [[""7:00"", ""19:00""]] }"
sg:600312c075b846b3809968df5cc7085e,,Costco Wholesale Corp,SG_BRAND_60b7b54d19fca719281e76d485a141ad,Costco Wholesale Corp.,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,605 rockaway turnpike,lawrence,ny,11559,,"{ ""Mon"": [[""10:00"", ""20:30""]], ""Tue"": [[""10:00"", ""20:30""]], ""Wed"": [[""10:00"", ""20:30""]], ""Thu"": [[""10:00"", ""20:30""]], ""Fri"": [[""10:00"", ""20:30""]], ""Sat"": [[""9:30"", ""19:00""]], ""Sun"": [[""10:00"", ""18:00""]] }"
